"Notes"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	Population
	"1991"	"1991"	"Indiana"	"18"	5616388
	"1991"	"1991"	"Iowa"	"19"	2797613
	"1991"	"1991"	"Kansas"	"20"	2498722
	"1991"	"1991"	"Kentucky"	"21"	3722328
	"1991"	"1991"	"Louisiana"	"22"	4253279
	"1991"	"1991"	"Maine"	"23"	1237081
	"1991"	"1991"	"Maryland"	"24"	4867641
	"1991"	"1991"	"Massachusetts"	"25"	6018470
	"1991"	"1991"	"Michigan"	"26"	9400446
	"1991"	"1991"	"Minnesota"	"27"	4440859
	"1991"	"1991"	"Mississippi"	"28"	2598733
	"1991"	"1991"	"Missouri"	"29"	5170800
	"1991"	"1991"	"Montana"	"30"	809680
	"1991"	"1991"	"Nebraska"	"31"	1595919
	"1991"	"1991"	"Nevada"	"32"	1296171
	"1991"	"1991"	"New Hampshire"	"33"	1109929
	"1991"	"1991"	"New Jersey"	"34"	7814676
	"1991"	"1991"	"New Mexico"	"35"	1555305
	"1991"	"1991"	"New York"	"36"	18122510
	"1991"	"1991"	"North Carolina"	"37"	6784280
	"1991"	"1991"	"North Dakota"	"38"	635753
	"1991"	"1991"	"Ohio"	"39"	10945762
	"1991"	"1991"	"Oklahoma"	"40"	3175440
	"1991"	"1991"	"Oregon"	"41"	2928507
	"1991"	"1991"	"Pennsylvania"	"42"	11982164
	"1991"	"1991"	"Rhode Island"	"44"	1010649
	"1991"	"1991"	"South Carolina"	"45"	3570404
	"1991"	"1991"	"South Dakota"	"46"	703669
	"1991"	"1991"	"Tennessee"	"47"	4966587
	"1991"	"1991"	"Texas"	"48"	17398005
	"1991"	"1991"	"Utah"	"49"	1779780
	"1991"	"1991"	"Vermont"	"50"	568606
	"1991"	"1991"	"Virginia"	"51"	6301217
	"1991"	"1991"	"Washington"	"53"	5025624
	"1991"	"1991"	"West Virginia"	"54"	1798735
	"1991"	"1991"	"Wisconsin"	"55"	4964343
	"1991"	"1991"	"Wyoming"	"56"	459260
	"1992"	"1992"	"Alabama"	"01"	4154014
	"1992"	"1992"	"Alaska"	"02"	588736
	"1992"	"1992"	"Arizona"	"04"	3915740
	"1992"	"1992"	"Arkansas"	"05"	2415984
	"1992"	"1992"	"California"	"06"	30974659
	"1992"	"1992"	"Colorado"	"08"	3495939
	"1992"	"1992"	"Connecticut"	"09"	3300712
	"1992"	"1992"	"Delaware"	"10"	694925
	"1992"	"1992"	"District of Columbia"	"11"	597565
	"1992"	"1992"	"Florida"	"12"	13650553
	"1992"	"1992"	"Georgia"	"13"	6817203
	"1992"	"1992"	"Hawaii"	"15"	1158613
	"1992"	"1992"	"Idaho"	"16"	1071685
	"1992"	"1992"	"Illinois"	"17"	11694184
	"1992"	"1992"	"Indiana"	"18"	5674547
	"1992"	"1992"	"Iowa"	"19"	2818401
	"1992"	"1992"	"Kansas"	"20"	2532394
	"1992"	"1992"	"Kentucky"	"21"	3765469
	"1992"	"1992"	"Louisiana"	"22"	4293003
	"1992"	"1992"	"Maine"	"23"	1238508
	"1992"	"1992"	"Maryland"	"24"	4923368
	"1992"	"1992"	"Massachusetts"	"25"	6028709
	"1992"	"1992"	"Michigan"	"26"	9479065
	"1992"	"1992"	"Minnesota"	"27"	4495572
	"1992"	"1992"	"Mississippi"	"28"	2623734
	"1992"	"1992"	"Missouri"	"29"	5217101
	"1992"	"1992"	"Montana"	"30"	825770
	"1992"	"1992"	"Nebraska"	"31"	1611687
	"1992"	"1992"	"Nevada"	"32"	1351367
	"1992"	"1992"	"New Hampshire"	"33"	1117784
	"1992"	"1992"	"New Jersey"	"34"	7880508
	"1992"	"1992"	"New Mexico"	"35"	1595442
	"1992"	"1992"	"New York"	"36"	18246653
	"1992"	"1992"	"North Carolina"	"37"	6897214
	"1992"	"1992"	"North Dakota"	"38"	638223
	"1992"	"1992"	"Ohio"	"39"	11029431
	"1992"	"1992"	"Oklahoma"	"40"	3220517
	"1992"	"1992"	"Oregon"	"41"	2991755
	"1992"	"1992"	"Pennsylvania"	"42"	12049450
	"1992"	"1992"	"Rhode Island"	"44"	1012581
	"1992"	"1992"	"South Carolina"	"45"	3620464
	"1992"	"1992"	"South Dakota"	"46"	712801
	"1992"	"1992"	"Tennessee"	"47"	5049742
	"1992"	"1992"	"Texas"	"48"	17759738
	"1992"	"1992"	"Utah"	"49"	1836799
	"1992"	"1992"	"Vermont"	"50"	572751
	"1992"	"1992"	"Virginia"	"51"	6414307
	"1992"	"1992"	"Washington"	"53"	5160757
	"1992"	"1992"	"West Virginia"	"54"	1806451
	"1992"	"1992"	"Wisconsin"	"55"	5025398
	"1992"	"1992"	"Wyoming"	"56"	466251
	"1993"	"1993"	"Alabama"	"01"	4214202
	"1993"	"1993"	"Alaska"	"02"	599432
	"1993"	"1993"	"Arizona"	"04"	4065440
	"1993"	"1993"	"Arkansas"	"05"	2456303
	"1993"	"1993"	"California"	"06"	31274928
	"1993"	"1993"	"Colorado"	"08"	3613734
	"1993"	"1993"	"Connecticut"	"09"	3309175
	"1993"	"1993"	"Delaware"	"10"	706378
	"1993"	"1993"	"District of Columbia"	"11"	595301
	"1993"	"1993"	"Florida"	"12"	13927185
	"1993"	"1993"	"Georgia"	"13"	6978240
	"1993"	"1993"	"Hawaii"	"15"	1172838
	"1993"	"1993"	"Idaho"	"16"	1108768
	"1993"	"1993"	"Illinois"	"17"	11809579
	"1993"	"1993"	"Indiana"	"18"	5739019
	"1993"	"1993"	"Iowa"	"19"	2836972
	"1993"	"1993"	"Kansas"	"20"	2556547
	"1993"	"1993"	"Kentucky"	"21"	3812206
	"1993"	"1993"	"Louisiana"	"22"	4316428
	"1993"	"1993"	"Maine"	"23"	1242302
	"1993"	"1993"	"Maryland"	"24"	4971889
	"1993"	"1993"	"Massachusetts"	"25"	6060569
	"1993"	"1993"	"Michigan"	"26"	9540114
	"1993"	"1993"	"Minnesota"	"27"	4555954
	"1993"	"1993"	"Mississippi"	"28"	2655100
	"1993"	"1993"	"Missouri"	"29"	5271175
	"1993"	"1993"	"Montana"	"30"	844761
	"1993"	"1993"	"Nebraska"	"31"	1625590
	"1993"	"1993"	"Nevada"	"32"	1411215
	"1993"	"1993"	"New Hampshire"	"33"	1129458
	"1993"	"1993"	"New Jersey"	"34"	7948915
	"1993"	"1993"	"New Mexico"	"35"	1636453
	"1993"	"1993"	"New York"	"36"	18374954
	"1993"	"1993"	"North Carolina"	"37"	7042818
	"1993"	"1993"	"North Dakota"	"38"	641216
	"1993"	"1993"	"Ohio"	"39"	11101140
	"1993"	"1993"	"Oklahoma"	"40"	3252285
	"1993"	"1993"	"Oregon"	"41"	3060367
	"1993"	"1993"	"Pennsylvania"	"42"	12119724
	"1993"	"1993"	"Rhode Island"	"44"	1015112
	"1993"	"1993"	"South Carolina"	"45"	3663314
	"1993"	"1993"	"South Dakota"	"46"	722159
	"1993"	"1993"	"Tennessee"	"47"	5137584
	"1993"	"1993"	"Texas"	"48"	18161612
	"1993"	"1993"	"Utah"	"49"	1898404
	"1993"	"1993"	"Vermont"	"50"	577748
	"1993"	"1993"	"Virginia"	"51"	6509630
	"1993"	"1993"	"Washington"	"53"	5278842
	"1993"	"1993"	"West Virginia"	"54"	1817539
	"1993"	"1993"	"Wisconsin"	"55"	5084889
	"1993"	"1993"	"Wyoming"	"56"	473081
	"1994"	"1994"	"Alabama"	"01"	4260229
	"1994"	"1994"	"Alaska"	"02"	603308
	"1994"	"1994"	"Arizona"	"04"	4245089
	"1994"	"1994"	"Arkansas"	"05"	2494019
	"1994"	"1994"	"California"	"06"	31484435
	"1994"	"1994"	"Colorado"	"08"	3724168
	"1994"	"1994"	"Connecticut"	"09"	3316121
	"1994"	"1994"	"Delaware"	"10"	717545
	"1994"	"1994"	"District of Columbia"	"11"	589239
	"1994"	"1994"	"Florida"	"12"	14239444
	"1994"	"1994"	"Georgia"	"13"	7157165
	"1994"	"1994"	"Hawaii"	"15"	1187536
	"1994"	"1994"	"Idaho"	"16"	1145140
	"1994"	"1994"	"Illinois"	"17"	11912585
	"1994"	"1994"	"Indiana"	"18"	5793526
	"1994"	"1994"	"Iowa"	"19"	2850746
	"1994"	"1994"	"Kansas"	"20"	2580513
	"1994"	"1994"	"Kentucky"	"21"	3849088
	"1994"	"1994"	"Louisiana"	"22"	4347481
	"1994"	"1994"	"Maine"	"23"	1242662
	"1994"	"1994"	"Maryland"	"24"	5023060
	"1994"	"1994"	"Massachusetts"	"25"	6095241
	"1994"	"1994"	"Michigan"	"26"	9597737
	"1994"	"1994"	"Minnesota"	"27"	4610355
	"1994"	"1994"	"Mississippi"	"28"	2688992
	"1994"	"1994"	"Missouri"	"29"	5324497
	"1994"	"1994"	"Montana"	"30"	861306
	"1994"	"1994"	"Nebraska"	"31"	1639041
	"1994"	"1994"	"Nevada"	"32"	1499298
	"1994"	"1994"	"New Hampshire"	"33"	1142560
	"1994"	"1994"	"New Jersey"	"34"	8014306
	"1994"	"1994"	"New Mexico"	"35"	1682398
	"1994"	"1994"	"New York"	"36"	18459470
	"1994"	"1994"	"North Carolina"	"37"	7187398
	"1994"	"1994"	"North Dakota"	"38"	644804
	"1994"	"1994"	"Ohio"	"39"	11152454
	"1994"	"1994"	"Oklahoma"	"40"	3280940
	"1994"	"1994"	"Oregon"	"41"	3121264
	"1994"	"1994"	"Pennsylvania"	"42"	12166050
	"1994"	"1994"	"Rhode Island"	"44"	1015960
	"1994"	"1994"	"South Carolina"	"45"	3705397
	"1994"	"1994"	"South Dakota"	"46"	730790
	"1994"	"1994"	"Tennessee"	"47"	5231438
	"1994"	"1994"	"Texas"	"48"	18564062
	"1994"	"1994"	"Utah"	"49"	1960446
	"1994"	"1994"	"Vermont"	"50"	583836
	"1994"	"1994"	"Virginia"	"51"	6593139
	"1994"	"1994"	"Washington"	"53"	5375161
	"1994"	"1994"	"West Virginia"	"54"	1820421
	"1994"	"1994"	"Wisconsin"	"55"	5133678
	"1994"	"1994"	"Wyoming"	"56"	480283
	"1995"	"1995"	"Alabama"	"01"	4296800
	"1995"	"1995"	"Alaska"	"02"	604412
	"1995"	"1995"	"Arizona"	"04"	4432499
	"1995"	"1995"	"Arkansas"	"05"	2535399
	"1995"	"1995"	"California"	"06"	31696582
	"1995"	"1995"	"Colorado"	"08"	3826653
	"1995"	"1995"	"Connecticut"	"09"	3324144
	"1995"	"1995"	"Delaware"	"10"	729734
	"1995"	"1995"	"District of Columbia"	"11"	580517
	"1995"	"1995"	"Florida"	"12"	14537875
	"1995"	"1995"	"Georgia"	"13"	7328413
	"1995"	"1995"	"Hawaii"	"15"	1196854
	"1995"	"1995"	"Idaho"	"16"	1177322
	"1995"	"1995"	"Illinois"	"17"	12008437
	"1995"	"1995"	"Indiana"	"18"	5851459
	"1995"	"1995"	"Iowa"	"19"	2867373
	"1995"	"1995"	"Kansas"	"20"	2601007
	"1995"	"1995"	"Kentucky"	"21"	3887427
	"1995"	"1995"	"Louisiana"	"22"	4378779
	"1995"	"1995"	"Maine"	"23"	1243480
	"1995"	"1995"	"Maryland"	"24"	5070033
	"1995"	"1995"	"Massachusetts"	"25"	6141445
	"1995"	"1995"	"Michigan"	"26"	9676211
	"1995"	"1995"	"Minnesota"	"27"	4660180
	"1995"	"1995"	"Mississippi"	"28"	2722659
	"1995"	"1995"	"Missouri"	"29"	5378247
	"1995"	"1995"	"Montana"	"30"	876553
	"1995"	"1995"	"Nebraska"	"31"	1656992
	"1995"	"1995"	"Nevada"	"32"	1581578
	"1995"	"1995"	"New Hampshire"	"33"	1157561
	"1995"	"1995"	"New Jersey"	"34"	8083242
	"1995"	"1995"	"New Mexico"	"35"	1720394
	"1995"	"1995"	"New York"	"36"	18524104
	"1995"	"1995"	"North Carolina"	"37"	7344674
	"1995"	"1995"	"North Dakota"	"38"	647832
	"1995"	"1995"	"Ohio"	"39"	11202751
	"1995"	"1995"	"Oklahoma"	"40"	3308208
	"1995"	"1995"	"Oregon"	"41"	3184369
	"1995"	"1995"	"Pennsylvania"	"42"	12198403
	"1995"	"1995"	"Rhode Island"	"44"	1017002
	"1995"	"1995"	"South Carolina"	"45"	3748582
	"1995"	"1995"	"South Dakota"	"46"	737925
	"1995"	"1995"	"Tennessee"	"47"	5326936
	"1995"	"1995"	"Texas"	"48"	18958751
	"1995"	"1995"	"Utah"	"49"	2014177
	"1995"	"1995"	"Vermont"	"50"	589002
	"1995"	"1995"	"Virginia"	"51"	6670693
	"1995"	"1995"	"Washington"	"53"	5481027
	"1995"	"1995"	"West Virginia"	"54"	1823700
	"1995"	"1995"	"Wisconsin"	"55"	5184836
	"1995"	"1995"	"Wyoming"	"56"	485160
	"1996"	"1996"	"Alabama"	"01"	4331102
	"1996"	"1996"	"Alaska"	"02"	608569
	"1996"	"1996"	"Arizona"	"04"	4586940
	"1996"	"1996"	"Arkansas"	"05"	2572109
	"1996"	"1996"	"California"	"06"	32018834
	"1996"	"1996"	"Colorado"	"08"	3919972
	"1996"	"1996"	"Connecticut"	"09"	3336685
	"1996"	"1996"	"Delaware"	"10"	740977
	"1996"	"1996"	"District of Columbia"	"11"	572377
	"1996"	"1996"	"Florida"	"12"	14853360
	"1996"	"1996"	"Georgia"	"13"	7501069
	"1996"	"1996"	"Hawaii"	"15"	1203755
	"1996"	"1996"	"Idaho"	"16"	1203083
	"1996"	"1996"	"Illinois"	"17"	12101997
	"1996"	"1996"	"Indiana"	"18"	5906013
	"1996"	"1996"	"Iowa"	"19"	2880000
	"1996"	"1996"	"Kansas"	"20"	2614554
	"1996"	"1996"	"Kentucky"	"21"	3919535
	"1996"	"1996"	"Louisiana"	"22"	4398877
	"1996"	"1996"	"Maine"	"23"	1249060
	"1996"	"1996"	"Maryland"	"24"	5111986
	"1996"	"1996"	"Massachusetts"	"25"	6179756
	"1996"	"1996"	"Michigan"	"26"	9758645
	"1996"	"1996"	"Minnesota"	"27"	4712827
	"1996"	"1996"	"Mississippi"	"28"	2748085
	"1996"	"1996"	"Missouri"	"29"	5431553
	"1996"	"1996"	"Montana"	"30"	886254
	"1996"	"1996"	"Nebraska"	"31"	1673740
	"1996"	"1996"	"Nevada"	"32"	1666320
	"1996"	"1996"	"New Hampshire"	"33"	1174719
	"1996"	"1996"	"New Jersey"	"34"	8149596
	"1996"	"1996"	"New Mexico"	"35"	1752326
	"1996"	"1996"	"New York"	"36"	18588460
	"1996"	"1996"	"North Carolina"	"37"	7500670
	"1996"	"1996"	"North Dakota"	"38"	650382
	"1996"	"1996"	"Ohio"	"39"	11242827
	"1996"	"1996"	"Oklahoma"	"40"	3340129
	"1996"	"1996"	"Oregon"	"41"	3247111
	"1996"	"1996"	"Pennsylvania"	"42"	12220464
	"1996"	"1996"	"Rhode Island"	"44"	1020893
	"1996"	"1996"	"South Carolina"	"45"	3796200
	"1996"	"1996"	"South Dakota"	"46"	742213
	"1996"	"1996"	"Tennessee"	"47"	5416643
	"1996"	"1996"	"Texas"	"48"	19340342
	"1996"	"1996"	"Utah"	"49"	2067976
	"1996"	"1996"	"Vermont"	"50"	593701
	"1996"	"1996"	"Virginia"	"51"	6750884
	"1996"	"1996"	"Washington"	"53"	5569753
	"1996"	"1996"	"West Virginia"	"54"	1822808
	"1996"	"1996"	"Wisconsin"	"55"	5229986
	"1996"	"1996"	"Wyoming"	"56"	488167
	"1997"	"1997"	"Alabama"	"01"	4367935
	"1997"	"1997"	"Alaska"	"02"	612968
	"1997"	"1997"	"Arizona"	"04"	4736990
	"1997"	"1997"	"Arkansas"	"05"	2601090
	"1997"	"1997"	"California"	"06"	32486010
	"1997"	"1997"	"Colorado"	"08"	4018293
	"1997"	"1997"	"Connecticut"	"09"	3349348
	"1997"	"1997"	"Delaware"	"10"	751487
	"1997"	"1997"	"District of Columbia"	"11"	567736
	"1997"	"1997"	"Florida"	"12"	15186304
	"1997"	"1997"	"Georgia"	"13"	7685099
	"1997"	"1997"	"Hawaii"	"15"	1211640
	"1997"	"1997"	"Idaho"	"16"	1228520
	"1997"	"1997"	"Illinois"	"17"	12185715
	"1997"	"1997"	"Indiana"	"18"	5955267
	"1997"	"1997"	"Iowa"	"19"	2891119
	"1997"	"1997"	"Kansas"	"20"	2635292
	"1997"	"1997"	"Kentucky"	"21"	3952747
	"1997"	"1997"	"Louisiana"	"22"	4421071
	"1997"	"1997"	"Maine"	"23"	1254774
	"1997"	"1997"	"Maryland"	"24"	5157328
	"1997"	"1997"	"Massachusetts"	"25"	6226058
	"1997"	"1997"	"Michigan"	"26"	9809051
	"1997"	"1997"	"Minnesota"	"27"	4763390
	"1997"	"1997"	"Mississippi"	"28"	2777004
	"1997"	"1997"	"Missouri"	"29"	5481193
	"1997"	"1997"	"Montana"	"30"	889865
	"1997"	"1997"	"Nebraska"	"31"	1686418
	"1997"	"1997"	"Nevada"	"32"	1764104
	"1997"	"1997"	"New Hampshire"	"33"	1189425
	"1997"	"1997"	"New Jersey"	"34"	8218808
	"1997"	"1997"	"New Mexico"	"35"	1774839
	"1997"	"1997"	"New York"	"36"	18656546
	"1997"	"1997"	"North Carolina"	"37"	7656825
	"1997"	"1997"	"North Dakota"	"38"	649716
	"1997"	"1997"	"Ohio"	"39"	11277357
	"1997"	"1997"	"Oklahoma"	"40"	3372917
	"1997"	"1997"	"Oregon"	"41"	3304310
	"1997"	"1997"	"Pennsylvania"	"42"	12227814
	"1997"	"1997"	"Rhode Island"	"44"	1025353
	"1997"	"1997"	"South Carolina"	"45"	3859696
	"1997"	"1997"	"South Dakota"	"46"	744223
	"1997"	"1997"	"Tennessee"	"47"	5499233
	"1997"	"1997"	"Texas"	"48"	19740317
	"1997"	"1997"	"Utah"	"49"	2119784
	"1997"	"1997"	"Vermont"	"50"	597239
	"1997"	"1997"	"Virginia"	"51"	6829183
	"1997"	"1997"	"Washington"	"53"	5674747
	"1997"	"1997"	"West Virginia"	"54"	1819113
	"1997"	"1997"	"Wisconsin"	"55"	5266213
	"1997"	"1997"	"Wyoming"	"56"	489451
	"1998"	"1998"	"Alabama"	"01"	4404701
	"1998"	"1998"	"Alaska"	"02"	619932
	"1998"	"1998"	"Arizona"	"04"	4883342
	"1998"	"1998"	"Arkansas"	"05"	2626289
	"1998"	"1998"	"California"	"06"	32987675
	"1998"	"1998"	"Colorado"	"08"	4116639
	"1998"	"1998"	"Connecticut"	"09"	3365352
	"1998"	"1998"	"Delaware"	"10"	763335
	"1998"	"1998"	"District of Columbia"	"11"	565230
	"1998"	"1998"	"Florida"	"12"	15486559
	"1998"	"1998"	"Georgia"	"13"	7863536
	"1998"	"1998"	"Hawaii"	"15"	1215233
	"1998"	"1998"	"Idaho"	"16"	1252330
	"1998"	"1998"	"Illinois"	"17"	12271847
	"1998"	"1998"	"Indiana"	"18"	5998880
	"1998"	"1998"	"Iowa"	"19"	2902872
	"1998"	"1998"	"Kansas"	"20"	2660598
	"1998"	"1998"	"Kentucky"	"21"	3985390
	"1998"	"1998"	"Louisiana"	"22"	4440344
	"1998"	"1998"	"Maine"	"23"	1259127
	"1998"	"1998"	"Maryland"	"24"	5204464
	"1998"	"1998"	"Massachusetts"	"25"	6271838
	"1998"	"1998"	"Michigan"	"26"	9847942
	"1998"	"1998"	"Minnesota"	"27"	4813412
	"1998"	"1998"	"Mississippi"	"28"	2804834
	"1998"	"1998"	"Missouri"	"29"	5521765
	"1998"	"1998"	"Montana"	"30"	892431
	"1998"	"1998"	"Nebraska"	"31"	1695816
	"1998"	"1998"	"Nevada"	"32"	1853191
	"1998"	"1998"	"New Hampshire"	"33"	1205940
	"1998"	"1998"	"New Jersey"	"34"	8287418
	"1998"	"1998"	"New Mexico"	"35"	1793484
	"1998"	"1998"	"New York"	"36"	18755906
	"1998"	"1998"	"North Carolina"	"37"	7809121
	"1998"	"1998"	"North Dakota"	"38"	647532
	"1998"	"1998"	"Ohio"	"39"	11311536
	"1998"	"1998"	"Oklahoma"	"40"	3405194
	"1998"	"1998"	"Oregon"	"41"	3352449
	"1998"	"1998"	"Pennsylvania"	"42"	12245672
	"1998"	"1998"	"Rhode Island"	"44"	1031155
	"1998"	"1998"	"South Carolina"	"45"	3919235
	"1998"	"1998"	"South Dakota"	"46"	746058
	"1998"	"1998"	"Tennessee"	"47"	5570045
	"1998"	"1998"	"Texas"	"48"	20157531
	"1998"	"1998"	"Utah"	"49"	2165960
	"1998"	"1998"	"Vermont"	"50"	600416
	"1998"	"1998"	"Virginia"	"51"	6900918
	"1998"	"1998"	"Washington"	"53"	5769562
	"1998"	"1998"	"West Virginia"	"54"	1815609
	"1998"	"1998"	"Wisconsin"	"55"	5297672
	"1998"	"1998"	"Wyoming"	"56"	490787
	"1999"	"1999"	"Alabama"	"01"	4430141
	"1999"	"1999"	"Alaska"	"02"	624779
	"1999"	"1999"	"Arizona"	"04"	5023823
	"1999"	"1999"	"Arkansas"	"05"	2651860
	"1999"	"1999"	"California"	"06"	33499204
	"1999"	"1999"	"Colorado"	"08"	4226018
	"1999"	"1999"	"Connecticut"	"09"	3386401
	"1999"	"1999"	"Delaware"	"10"	774990
	"1999"	"1999"	"District of Columbia"	"11"	570213
	"1999"	"1999"	"Florida"	"12"	15759421
	"1999"	"1999"	"Georgia"	"13"	8045965
	"1999"	"1999"	"Hawaii"	"15"	1210300
	"1999"	"1999"	"Idaho"	"16"	1275674
	"1999"	"1999"	"Illinois"	"17"	12359020
	"1999"	"1999"	"Indiana"	"18"	6044969
	"1999"	"1999"	"Iowa"	"19"	2917634
	"1999"	"1999"	"Kansas"	"20"	2678338
	"1999"	"1999"	"Kentucky"	"21"	4018053
	"1999"	"1999"	"Louisiana"	"22"	4460811
	"1999"	"1999"	"Maine"	"23"	1266808
	"1999"	"1999"	"Maryland"	"24"	5254509
	"1999"	"1999"	"Massachusetts"	"25"	6317345
	"1999"	"1999"	"Michigan"	"26"	9897116
	"1999"	"1999"	"Minnesota"	"27"	4873481
	"1999"	"1999"	"Mississippi"	"28"	2828408
	"1999"	"1999"	"Missouri"	"29"	5561948
	"1999"	"1999"	"Montana"	"30"	897507
	"1999"	"1999"	"Nebraska"	"31"	1704764
	"1999"	"1999"	"Nevada"	"32"	1934718
	"1999"	"1999"	"New Hampshire"	"33"	1222014
	"1999"	"1999"	"New Jersey"	"34"	8359592
	"1999"	"1999"	"New Mexico"	"35"	1808082
	"1999"	"1999"	"New York"	"36"	18882725
	"1999"	"1999"	"North Carolina"	"37"	7949361
	"1999"	"1999"	"North Dakota"	"38"	644259
	"1999"	"1999"	"Ohio"	"39"	11335454
	"1999"	"1999"	"Oklahoma"	"40"	3437147
	"1999"	"1999"	"Oregon"	"41"	3393941
	"1999"	"1999"	"Pennsylvania"	"42"	12263805
	"1999"	"1999"	"Rhode Island"	"44"	1040402
	"1999"	"1999"	"South Carolina"	"45"	3974682
	"1999"	"1999"	"South Dakota"	"46"	750412
	"1999"	"1999"	"Tennessee"	"47"	5638706
	"1999"	"1999"	"Texas"	"48"	20558220
	"1999"	"1999"	"Utah"	"49"	2203482
	"1999"	"1999"	"Vermont"	"50"	604683
	"1999"	"1999"	"Virginia"	"51"	7000174
	"1999"	"1999"	"Washington"	"53"	5842564
	"1999"	"1999"	"West Virginia"	"54"	1811799
	"1999"	"1999"	"Wisconsin"	"55"	5332666
	"1999"	"1999"	"Wyoming"	"56"	491780
	"2000"	"2000"	"Alabama"	"01"	4452173
	"2000"	"2000"	"Alaska"	"02"	627963
	"2000"	"2000"	"Arizona"	"04"	5160586
	"2000"	"2000"	"Arkansas"	"05"	2678588
	"2000"	"2000"	"California"	"06"	33987977
	"2000"	"2000"	"Colorado"	"08"	4326921
	"2000"	"2000"	"Connecticut"	"09"	3411777
	"2000"	"2000"	"Delaware"	"10"	786373
	"2000"	"2000"	"District of Columbia"	"11"	572046
	"2000"	"2000"	"Florida"	"12"	16047515
	"2000"	"2000"	"Georgia"	"13"	8227303
	"2000"	"2000"	"Hawaii"	"15"	1213519
	"2000"	"2000"	"Idaho"	"16"	1299430
	"2000"	"2000"	"Illinois"	"17"	12434161
	"2000"	"2000"	"Indiana"	"18"	6091866
	"2000"	"2000"	"Iowa"	"19"	2929067
	"2000"	"2000"	"Kansas"	"20"	2693681
	"2000"	"2000"	"Kentucky"	"21"	4049021
	"2000"	"2000"	"Louisiana"	"22"	4471885
