"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Massachusetts"	"25"	"Heroin"	"T40.1"	19	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Other opioids"	"T40.2"	31	6317345	0.5
	"1999"	"1999"	"Massachusetts"	"25"	"Methadone"	"T40.3"	11	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Other synthetic narcotics"	"T40.4"	11	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Cocaine"	"T40.5"	152	6317345	2.4
	"1999"	"1999"	"Massachusetts"	"25"	"Other and unspecified narcotics"	"T40.6"	278	6317345	4.4
	"1999"	"1999"	"Michigan"	"26"	"Heroin"	"T40.1"	48	9897116	0.5
	"1999"	"1999"	"Michigan"	"26"	"Other opioids"	"T40.2"	41	9897116	0.4
	"1999"	"1999"	"Michigan"	"26"	"Methadone"	"T40.3"	13	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"Other synthetic narcotics"	"T40.4"	21	9897116	0.2
	"1999"	"1999"	"Michigan"	"26"	"Cocaine"	"T40.5"	93	9897116	0.9
	"1999"	"1999"	"Michigan"	"26"	"Other and unspecified narcotics"	"T40.6"	22	9897116	0.2
	"1999"	"1999"	"Minnesota"	"27"	"Other opioids"	"T40.2"	22	4873481	0.5
	"1999"	"1999"	"Minnesota"	"27"	"Methadone"	"T40.3"	12	4873481	Unreliable
	"1999"	"1999"	"Minnesota"	"27"	"Other synthetic narcotics"	"T40.4"	10	4873481	Unreliable
	"1999"	"1999"	"Minnesota"	"27"	"Cocaine"	"T40.5"	20	4873481	0.4
	"1999"	"1999"	"Minnesota"	"27"	"Other and unspecified narcotics"	"T40.6"	27	4873481	0.6
	"1999"	"1999"	"Mississippi"	"28"	"Cocaine"	"T40.5"	11	2828408	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Heroin"	"T40.1"	48	5561948	0.9
	"1999"	"1999"	"Missouri"	"29"	"Other opioids"	"T40.2"	24	5561948	0.4
	"1999"	"1999"	"Missouri"	"29"	"Methadone"	"T40.3"	16	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Other synthetic narcotics"	"T40.4"	20	5561948	0.4
	"1999"	"1999"	"Missouri"	"29"	"Cocaine"	"T40.5"	70	5561948	1.3
	"1999"	"1999"	"Nevada"	"32"	"Heroin"	"T40.1"	44	1934718	2.3
	"1999"	"1999"	"Nevada"	"32"	"Other opioids"	"T40.2"	90	1934718	4.7
	"1999"	"1999"	"Nevada"	"32"	"Methadone"	"T40.3"	19	1934718	Unreliable
	"1999"	"1999"	"Nevada"	"32"	"Other synthetic narcotics"	"T40.4"	22	1934718	1.1
	"1999"	"1999"	"Nevada"	"32"	"Cocaine"	"T40.5"	65	1934718	3.4
	"1999"	"1999"	"Nevada"	"32"	"Other and unspecified narcotics"	"T40.6"	17	1934718	Unreliable
	"1999"	"1999"	"New Hampshire"	"33"	"Other opioids"	"T40.2"	18	1222014	Unreliable
	"1999"	"1999"	"New Hampshire"	"33"	"Other and unspecified narcotics"	"T40.6"	16	1222014	Unreliable
	"1999"	"1999"	"New Jersey"	"34"	"Heroin"	"T40.1"	216	8359592	2.6
	"1999"	"1999"	"New Jersey"	"34"	"Other opioids"	"T40.2"	101	8359592	1.2
	"1999"	"1999"	"New Jersey"	"34"	"Methadone"	"T40.3"	27	8359592	0.3
	"1999"	"1999"	"New Jersey"	"34"	"Other synthetic narcotics"	"T40.4"	25	8359592	0.3
	"1999"	"1999"	"New Jersey"	"34"	"Cocaine"	"T40.5"	182	8359592	2.2
	"1999"	"1999"	"New Jersey"	"34"	"Other and unspecified narcotics"	"T40.6"	55	8359592	0.7
	"1999"	"1999"	"New Mexico"	"35"	"Heroin"	"T40.1"	23	1808082	1.3
	"1999"	"1999"	"New Mexico"	"35"	"Other opioids"	"T40.2"	118	1808082	6.5
	"1999"	"1999"	"New Mexico"	"35"	"Methadone"	"T40.3"	34	1808082	1.9
	"1999"	"1999"	"New Mexico"	"35"	"Other synthetic narcotics"	"T40.4"	27	1808082	1.5
	"1999"	"1999"	"New Mexico"	"35"	"Cocaine"	"T40.5"	125	1808082	6.9
	"1999"	"1999"	"New Mexico"	"35"	"Other and unspecified narcotics"	"T40.6"	14	1808082	Unreliable
	"1999"	"1999"	"New York"	"36"	"Heroin"	"T40.1"	43	18882725	0.2
	"1999"	"1999"	"New York"	"36"	"Other opioids"	"T40.2"	53	18882725	0.3
	"1999"	"1999"	"New York"	"36"	"Methadone"	"T40.3"	129	18882725	0.7
	"1999"	"1999"	"New York"	"36"	"Other synthetic narcotics"	"T40.4"	19	18882725	Unreliable
	"1999"	"1999"	"New York"	"36"	"Cocaine"	"T40.5"	477	18882725	2.5
	"1999"	"1999"	"New York"	"36"	"Other and unspecified narcotics"	"T40.6"	497	18882725	2.6
	"1999"	"1999"	"North Carolina"	"37"	"Heroin"	"T40.1"	43	7949361	0.5
	"1999"	"1999"	"North Carolina"	"37"	"Other opioids"	"T40.2"	54	7949361	0.7
	"1999"	"1999"	"North Carolina"	"37"	"Methadone"	"T40.3"	47	7949361	0.6
	"1999"	"1999"	"North Carolina"	"37"	"Other synthetic narcotics"	"T40.4"	27	7949361	0.3
	"1999"	"1999"	"North Carolina"	"37"	"Cocaine"	"T40.5"	81	7949361	1.0
	"1999"	"1999"	"North Carolina"	"37"	"Other and unspecified narcotics"	"T40.6"	11	7949361	Unreliable
	"1999"	"1999"	"Ohio"	"39"	"Heroin"	"T40.1"	55	11335454	0.5
	"1999"	"1999"	"Ohio"	"39"	"Other opioids"	"T40.2"	82	11335454	0.7
	"1999"	"1999"	"Ohio"	"39"	"Other synthetic narcotics"	"T40.4"	27	11335454	0.2
	"1999"	"1999"	"Ohio"	"39"	"Cocaine"	"T40.5"	111	11335454	1.0
	"1999"	"1999"	"Ohio"	"39"	"Other and unspecified narcotics"	"T40.6"	26	11335454	0.2
	"1999"	"1999"	"Oklahoma"	"40"	"Other opioids"	"T40.2"	51	3437147	1.5
	"1999"	"1999"	"Oklahoma"	"40"	"Methadone"	"T40.3"	20	3437147	0.6
	"1999"	"1999"	"Oklahoma"	"40"	"Other synthetic narcotics"	"T40.4"	25	3437147	0.7
	"1999"	"1999"	"Oklahoma"	"40"	"Cocaine"	"T40.5"	19	3437147	Unreliable
	"1999"	"1999"	"Oregon"	"41"	"Heroin"	"T40.1"	136	3393941	4.0
	"1999"	"1999"	"Oregon"	"41"	"Other opioids"	"T40.2"	26	3393941	0.8
	"1999"	"1999"	"Oregon"	"41"	"Methadone"	"T40.3"	11	3393941	Unreliable
	"1999"	"1999"	"Oregon"	"41"	"Cocaine"	"T40.5"	44	3393941	1.3
	"1999"	"1999"	"Oregon"	"41"	"Other and unspecified narcotics"	"T40.6"	40	3393941	1.2
	"1999"	"1999"	"Pennsylvania"	"42"	"Heroin"	"T40.1"	183	12263805	1.5
	"1999"	"1999"	"Pennsylvania"	"42"	"Other opioids"	"T40.2"	81	12263805	0.7
	"1999"	"1999"	"Pennsylvania"	"42"	"Methadone"	"T40.3"	12	12263805	Unreliable
	"1999"	"1999"	"Pennsylvania"	"42"	"Other synthetic narcotics"	"T40.4"	24	12263805	0.2
	"1999"	"1999"	"Pennsylvania"	"42"	"Cocaine"	"T40.5"	156	12263805	1.3
	"1999"	"1999"	"Pennsylvania"	"42"	"Other and unspecified narcotics"	"T40.6"	68	12263805	0.6
	"1999"	"1999"	"Rhode Island"	"44"	"Cocaine"	"T40.5"	17	1040402	Unreliable
	"1999"	"1999"	"Rhode Island"	"44"	"Other and unspecified narcotics"	"T40.6"	26	1040402	2.5
	"1999"	"1999"	"South Carolina"	"45"	"Other opioids"	"T40.2"	23	3974682	0.6
	"1999"	"1999"	"South Carolina"	"45"	"Methadone"	"T40.3"	16	3974682	Unreliable
	"1999"	"1999"	"South Carolina"	"45"	"Cocaine"	"T40.5"	37	3974682	0.9
	"1999"	"1999"	"Tennessee"	"47"	"Heroin"	"T40.1"	11	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Other opioids"	"T40.2"	45	5638706	0.8
	"1999"	"1999"	"Tennessee"	"47"	"Methadone"	"T40.3"	12	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Other synthetic narcotics"	"T40.4"	18	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Cocaine"	"T40.5"	73	5638706	1.3
	"1999"	"1999"	"Tennessee"	"47"	"Other and unspecified narcotics"	"T40.6"	16	5638706	Unreliable
	"1999"	"1999"	"Texas"	"48"	"Heroin"	"T40.1"	111	20558220	0.5
	"1999"	"1999"	"Texas"	"48"	"Other opioids"	"T40.2"	123	20558220	0.6
	"1999"	"1999"	"Texas"	"48"	"Methadone"	"T40.3"	28	20558220	0.1
	"1999"	"1999"	"Texas"	"48"	"Other synthetic narcotics"	"T40.4"	52	20558220	0.3
	"1999"	"1999"	"Texas"	"48"	"Cocaine"	"T40.5"	324	20558220	1.6
	"1999"	"1999"	"Texas"	"48"	"Other and unspecified narcotics"	"T40.6"	87	20558220	0.4
	"1999"	"1999"	"Utah"	"49"	"Heroin"	"T40.1"	57	2203482	2.6
	"1999"	"1999"	"Utah"	"49"	"Other opioids"	"T40.2"	97	2203482	4.4
	"1999"	"1999"	"Utah"	"49"	"Methadone"	"T40.3"	20	2203482	0.9
	"1999"	"1999"	"Utah"	"49"	"Cocaine"	"T40.5"	85	2203482	3.9
	"1999"	"1999"	"Utah"	"49"	"Other and unspecified narcotics"	"T40.6"	15	2203482	Unreliable
	"1999"	"1999"	"Virginia"	"51"	"Heroin"	"T40.1"	67	7000174	1.0
	"1999"	"1999"	"Virginia"	"51"	"Other opioids"	"T40.2"	113	7000174	1.6
	"1999"	"1999"	"Virginia"	"51"	"Methadone"	"T40.3"	20	7000174	0.3
	"1999"	"1999"	"Virginia"	"51"	"Other synthetic narcotics"	"T40.4"	21	7000174	0.3
	"1999"	"1999"	"Virginia"	"51"	"Cocaine"	"T40.5"	90	7000174	1.3
	"1999"	"1999"	"Virginia"	"51"	"Other and unspecified narcotics"	"T40.6"	37	7000174	0.5
	"1999"	"1999"	"Washington"	"53"	"Heroin"	"T40.1"	61	5842564	1.0
	"1999"	"1999"	"Washington"	"53"	"Other opioids"	"T40.2"	103	5842564	1.8
	"1999"	"1999"	"Washington"	"53"	"Methadone"	"T40.3"	54	5842564	0.9
	"1999"	"1999"	"Washington"	"53"	"Other synthetic narcotics"	"T40.4"	24	5842564	0.4
	"1999"	"1999"	"Washington"	"53"	"Cocaine"	"T40.5"	138	5842564	2.4
	"1999"	"1999"	"Washington"	"53"	"Other and unspecified narcotics"	"T40.6"	188	5842564	3.2
	"1999"	"1999"	"West Virginia"	"54"	"Other synthetic narcotics"	"T40.4"	12	1811799	Unreliable
	"1999"	"1999"	"Wisconsin"	"55"	"Heroin"	"T40.1"	16	5332666	Unreliable
	"1999"	"1999"	"Wisconsin"	"55"	"Other opioids"	"T40.2"	41	5332666	0.8
	"1999"	"1999"	"Wisconsin"	"55"	"Methadone"	"T40.3"	11	5332666	Unreliable
	"1999"	"1999"	"Wisconsin"	"55"	"Other synthetic narcotics"	"T40.4"	16	5332666	Unreliable
	"1999"	"1999"	"Wisconsin"	"55"	"Cocaine"	"T40.5"	66	5332666	1.2
	"1999"	"1999"	"Wisconsin"	"55"	"Other and unspecified narcotics"	"T40.6"	12	5332666	Unreliable
	"2000"	"2000"	"Alabama"	"01"	"Other opioids"	"T40.2"	26	4447100	0.6
	"2000"	"2000"	"Alabama"	"01"	"Methadone"	"T40.3"	13	4447100	Unreliable
	"2000"	"2000"	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	13	4447100	Unreliable
	"2000"	"2000"	"Alabama"	"01"	"Cocaine"	"T40.5"	18	4447100	Unreliable
	"2000"	"2000"	"Alaska"	"02"	"Other opioids"	"T40.2"	21	626932	3.3
	"2000"	"2000"	"Alaska"	"02"	"Cocaine"	"T40.5"	14	626932	Unreliable
	"2000"	"2000"	"Arizona"	"04"	"Heroin"	"T40.1"	15	5130632	Unreliable
	"2000"	"2000"	"Arizona"	"04"	"Other opioids"	"T40.2"	96	5130632	1.9
	"2000"	"2000"	"Arizona"	"04"	"Methadone"	"T40.3"	18	5130632	Unreliable
	"2000"	"2000"	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	17	5130632	Unreliable
	"2000"	"2000"	"Arizona"	"04"	"Cocaine"	"T40.5"	132	5130632	2.6
	"2000"	"2000"	"Arizona"	"04"	"Other and unspecified narcotics"	"T40.6"	121	5130632	2.4
	"2000"	"2000"	"Arkansas"	"05"	"Cocaine"	"T40.5"	14	2673400	Unreliable
	"2000"	"2000"	"California"	"06"	"Heroin"	"T40.1"	346	33871648	1.0
	"2000"	"2000"	"California"	"06"	"Other opioids"	"T40.2"	671	33871648	2.0
	"2000"	"2000"	"California"	"06"	"Methadone"	"T40.3"	56	33871648	0.2
	"2000"	"2000"	"California"	"06"	"Other synthetic narcotics"	"T40.4"	73	33871648	0.2
	"2000"	"2000"	"California"	"06"	"Cocaine"	"T40.5"	384	33871648	1.1
	"2000"	"2000"	"California"	"06"	"Other and unspecified narcotics"	"T40.6"	239	33871648	0.7
	"2000"	"2000"	"Colorado"	"08"	"Heroin"	"T40.1"	38	4301261	0.9
	"2000"	"2000"	"Colorado"	"08"	"Other opioids"	"T40.2"	63	4301261	1.5
	"2000"	"2000"	"Colorado"	"08"	"Methadone"	"T40.3"	17	4301261	Unreliable
	"2000"	"2000"	"Colorado"	"08"	"Other synthetic narcotics"	"T40.4"	25	4301261	0.6
	"2000"	"2000"	"Colorado"	"08"	"Cocaine"	"T40.5"	94	4301261	2.2
	"2000"	"2000"	"Colorado"	"08"	"Other and unspecified narcotics"	"T40.6"	71	4301261	1.7
	"2000"	"2000"	"Connecticut"	"09"	"Heroin"	"T40.1"	113	3405565	3.3
	"2000"	"2000"	"Connecticut"	"09"	"Methadone"	"T40.3"	16	3405565	Unreliable
	"2000"	"2000"	"Connecticut"	"09"	"Cocaine"	"T40.5"	50	3405565	1.5
	"2000"	"2000"	"Connecticut"	"09"	"Other and unspecified narcotics"	"T40.6"	36	3405565	1.1
	"2000"	"2000"	"Delaware"	"10"	"Cocaine"	"T40.5"	14	783600	Unreliable
	"2000"	"2000"	"Delaware"	"10"	"Other and unspecified narcotics"	"T40.6"	14	783600	Unreliable
	"2000"	"2000"	"District of Columbia"	"11"	"Cocaine"	"T40.5"	43	572059	7.5
	"2000"	"2000"	"District of Columbia"	"11"	"Other and unspecified narcotics"	"T40.6"	28	572059	4.9
	"2000"	"2000"	"Florida"	"12"	"Heroin"	"T40.1"	171	15982378	1.1
	"2000"	"2000"	"Florida"	"12"	"Other opioids"	"T40.2"	249	15982378	1.6
	"2000"	"2000"	"Florida"	"12"	"Methadone"	"T40.3"	53	15982378	0.3
	"2000"	"2000"	"Florida"	"12"	"Other synthetic narcotics"	"T40.4"	85	15982378	0.5
	"2000"	"2000"	"Florida"	"12"	"Cocaine"	"T40.5"	233	15982378	1.5
	"2000"	"2000"	"Florida"	"12"	"Other and unspecified narcotics"	"T40.6"	68	15982378	0.4
	"2000"	"2000"	"Georgia"	"13"	"Other opioids"	"T40.2"	69	8186453	0.8
	"2000"	"2000"	"Georgia"	"13"	"Methadone"	"T40.3"	19	8186453	Unreliable
	"2000"	"2000"	"Georgia"	"13"	"Other synthetic narcotics"	"T40.4"	14	8186453	Unreliable
	"2000"	"2000"	"Georgia"	"13"	"Cocaine"	"T40.5"	118	8186453	1.4
	"2000"	"2000"	"Georgia"	"13"	"Other and unspecified narcotics"	"T40.6"	37	8186453	0.5
	"2000"	"2000"	"Hawaii"	"15"	"Other opioids"	"T40.2"	25	1211537	2.1
	"2000"	"2000"	"Idaho"	"16"	"Other opioids"	"T40.2"	17	1293953	Unreliable
	"2000"	"2000"	"Illinois"	"17"	"Heroin"	"T40.1"	35	12419293	0.3
	"2000"	"2000"	"Illinois"	"17"	"Other opioids"	"T40.2"	51	12419293	0.4
	"2000"	"2000"	"Illinois"	"17"	"Methadone"	"T40.3"	63	12419293	0.5
	"2000"	"2000"	"Illinois"	"17"	"Other synthetic narcotics"	"T40.4"	26	12419293	0.2
	"2000"	"2000"	"Illinois"	"17"	"Cocaine"	"T40.5"	434	12419293	3.5
	"2000"	"2000"	"Illinois"	"17"	"Other and unspecified narcotics"	"T40.6"	491	12419293	4.0
	"2000"	"2000"	"Indiana"	"18"	"Other opioids"	"T40.2"	17	6080485	Unreliable
	"2000"	"2000"	"Indiana"	"18"	"Other synthetic narcotics"	"T40.4"	13	6080485	Unreliable
	"2000"	"2000"	"Indiana"	"18"	"Cocaine"	"T40.5"	23	6080485	0.4
	"2000"	"2000"	"Indiana"	"18"	"Other and unspecified narcotics"	"T40.6"	12	6080485	Unreliable
	"2000"	"2000"	"Iowa"	"19"	"Cocaine"	"T40.5"	12	2926324	Unreliable
	"2000"	"2000"	"Kansas"	"20"	"Other opioids"	"T40.2"	10	2688418	Unreliable
	"2000"	"2000"	"Kansas"	"20"	"Cocaine"	"T40.5"	23	2688418	0.9
	"2000"	"2000"	"Kentucky"	"21"	"Other opioids"	"T40.2"	52	4041769	1.3
	"2000"	"2000"	"Kentucky"	"21"	"Methadone"	"T40.3"	29	4041769	0.7
	"2000"	"2000"	"Kentucky"	"21"	"Cocaine"	"T40.5"	19	4041769	Unreliable
	"2000"	"2000"	"Kentucky"	"21"	"Other and unspecified narcotics"	"T40.6"	31	4041769	0.8
	"2000"	"2000"	"Louisiana"	"22"	"Other opioids"	"T40.2"	24	4468976	0.5
	"2000"	"2000"	"Louisiana"	"22"	"Cocaine"	"T40.5"	30	4468976	0.7
	"2000"	"2000"	"Louisiana"	"22"	"Other and unspecified narcotics"	"T40.6"	21	4468976	0.5
	"2000"	"2000"	"Maine"	"23"	"Other opioids"	"T40.2"	10	1274923	Unreliable
	"2000"	"2000"	"Maine"	"23"	"Methadone"	"T40.3"	20	1274923	1.6
	"2000"	"2000"	"Maryland"	"24"	"Other opioids"	"T40.2"	20	5296486	0.4
	"2000"	"2000"	"Maryland"	"24"	"Methadone"	"T40.3"	18	5296486	Unreliable
	"2000"	"2000"	"Maryland"	"24"	"Cocaine"	"T40.5"	130	5296486	2.5
	"2000"	"2000"	"Maryland"	"24"	"Other and unspecified narcotics"	"T40.6"	449	5296486	8.5
	"2000"	"2000"	"Massachusetts"	"25"	"Other opioids"	"T40.2"	31	6349097	0.5
	"2000"	"2000"	"Massachusetts"	"25"	"Other synthetic narcotics"	"T40.4"	16	6349097	Unreliable
	"2000"	"2000"	"Massachusetts"	"25"	"Cocaine"	"T40.5"	153	6349097	2.4
	"2000"	"2000"	"Massachusetts"	"25"	"Other and unspecified narcotics"	"T40.6"	260	6349097	4.1
	"2000"	"2000"	"Michigan"	"26"	"Heroin"	"T40.1"	99	9938444	1.0
	"2000"	"2000"	"Michigan"	"26"	"Other opioids"	"T40.2"	47	9938444	0.5
	"2000"	"2000"	"Michigan"	"26"	"Methadone"	"T40.3"	15	9938444	Unreliable
	"2000"	"2000"	"Michigan"	"26"	"Other synthetic narcotics"	"T40.4"	18	9938444	Unreliable
	"2000"	"2000"	"Michigan"	"26"	"Cocaine"	"T40.5"	105	9938444	1.1
	"2000"	"2000"	"Michigan"	"26"	"Other and unspecified narcotics"	"T40.6"	23	9938444	0.2
	"2000"	"2000"	"Minnesota"	"27"	"Other opioids"	"T40.2"	19	4919479	Unreliable
	"2000"	"2000"	"Minnesota"	"27"	"Cocaine"	"T40.5"	13	4919479	Unreliable
	"2000"	"2000"	"Minnesota"	"27"	"Other and unspecified narcotics"	"T40.6"	35	4919479	0.7
	"2000"	"2000"	"Missouri"	"29"	"Heroin"	"T40.1"	48	5595211	0.9
	"2000"	"2000"	"Missouri"	"29"	"Other opioids"	"T40.2"	54	5595211	1.0
	"2000"	"2000"	"Missouri"	"29"	"Methadone"	"T40.3"	14	5595211	Unreliable
	"2000"	"2000"	"Missouri"	"29"	"Other synthetic narcotics"	"T40.4"	29	5595211	0.5
	"2000"	"2000"	"Missouri"	"29"	"Cocaine"	"T40.5"	65	5595211	1.2
	"2000"	"2000"	"Missouri"	"29"	"Other and unspecified narcotics"	"T40.6"	12	5595211	Unreliable
	"2000"	"2000"	"Nevada"	"32"	"Heroin"	"T40.1"	42	1998257	2.1
	"2000"	"2000"	"Nevada"	"32"	"Other opioids"	"T40.2"	110	1998257	5.5
	"2000"	"2000"	"Nevada"	"32"	"Methadone"	"T40.3"	29	1998257	1.5
	"2000"	"2000"	"Nevada"	"32"	"Other synthetic narcotics"	"T40.4"	15	1998257	Unreliable
