"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"2001"	"2001"	"Pennsylvania"	"42"	266	12298970	2.2	2.2
	"2001"	"2001"	"Rhode Island"	"44"	86	1057142	8.1	8.2
	"2001"	"2001"	"South Carolina"	"45"	89	4064995	2.2	2.2
	"2001"	"2001"	"South Dakota"	"46"	10	757972	Unreliable	Unreliable
	"2001"	"2001"	"Tennessee"	"47"	145	5750789	2.5	2.5
	"2001"	"2001"	"Texas"	"48"	602	21319622	2.8	2.8
	"2001"	"2001"	"Utah"	"49"	167	2283715	7.3	8.3
	"2001"	"2001"	"Vermont"	"50"	39	612223	6.4	6.3
	"2001"	"2001"	"Virginia"	"51"	326	7198362	4.5	4.3
	"2001"	"2001"	"Washington"	"53"	332	5985722	5.5	5.4
	"2001"	"2001"	"West Virginia"	"54"	150	1801481	8.3	8.5
	"2001"	"2001"	"Wisconsin"	"55"	143	5406835	2.6	2.6
	"2002"	"2002"	"Alabama"	"01"	75	4480089	1.7	1.7
	"2002"	"2002"	"Arizona"	"04"	340	5396255	6.3	6.6
	"2002"	"2002"	"Arkansas"	"05"	96	2705927	3.5	3.7
	"2002"	"2002"	"California"	"06"	1583	34871843	4.5	4.6
	"2002"	"2002"	"Colorado"	"08"	206	4490406	4.6	4.4
	"2002"	"2002"	"Connecticut"	"09"	174	3458749	5.0	5.1
	"2002"	"2002"	"Delaware"	"10"	54	806169	6.7	6.7
	"2002"	"2002"	"District of Columbia"	"11"	29	573158	5.1	5.2
	"2002"	"2002"	"Florida"	"12"	1001	16689370	6.0	6.2
	"2002"	"2002"	"Georgia"	"13"	223	8508256	2.6	2.6
	"2002"	"2002"	"Hawaii"	"15"	48	1239613	3.9	3.8
	"2002"	"2002"	"Idaho"	"16"	45	1340372	3.4	3.5
	"2002"	"2002"	"Illinois"	"17"	612	12525556	4.9	4.9
	"2002"	"2002"	"Indiana"	"18"	74	6155967	1.2	1.2
	"2002"	"2002"	"Iowa"	"19"	41	2934234	1.4	1.4
	"2002"	"2002"	"Kansas"	"20"	87	2713535	3.2	3.3
	"2002"	"2002"	"Kentucky"	"21"	185	4089875	4.5	4.6
	"2002"	"2002"	"Louisiana"	"22"	105	4497267	2.3	2.4
	"2002"	"2002"	"Maine"	"23"	100	1295960	7.7	7.9
	"2002"	"2002"	"Maryland"	"24"	562	5440389	10.3	10.0
	"2002"	"2002"	"Massachusetts"	"25"	491	6417206	7.7	7.5
	"2002"	"2002"	"Michigan"	"26"	248	10015710	2.5	2.5
	"2002"	"2002"	"Minnesota"	"27"	112	5018935	2.2	2.2
	"2002"	"2002"	"Mississippi"	"28"	27	2858681	0.9	1.0
	"2002"	"2002"	"Missouri"	"29"	198	5674825	3.5	3.6
	"2002"	"2002"	"Montana"	"30"	21	911667	2.3	2.3
	"2002"	"2002"	"Nebraska"	"31"	25	1728292	1.4	1.5
	"2002"	"2002"	"Nevada"	"32"	270	2173791	12.4	12.2
	"2002"	"2002"	"New Hampshire"	"33"	83	1269089	6.5	6.5
	"2002"	"2002"	"New Jersey"	"34"	505	8552643	5.9	5.8
	"2002"	"2002"	"New Mexico"	"35"	205	1855309	11.0	11.6
	"2002"	"2002"	"New York"	"36"	586	19137800	3.1	3.0
	"2002"	"2002"	"North Carolina"	"37"	412	8326201	4.9	4.9
	"2002"	"2002"	"North Dakota"	"38"	14	638168	Unreliable	Unreliable
	"2002"	"2002"	"Ohio"	"39"	459	11407889	4.0	4.1
	"2002"	"2002"	"Oklahoma"	"40"	152	3489080	4.4	4.5
	"2002"	"2002"	"Oregon"	"41"	247	3513424	7.0	7.0
	"2002"	"2002"	"Pennsylvania"	"42"	357	12331031	2.9	3.0
	"2002"	"2002"	"Rhode Island"	"44"	77	1065995	7.2	7.3
	"2002"	"2002"	"South Carolina"	"45"	85	4107795	2.1	2.1
	"2002"	"2002"	"South Dakota"	"46"	13	760020	Unreliable	Unreliable
	"2002"	"2002"	"Tennessee"	"47"	179	5795918	3.1	3.1
	"2002"	"2002"	"Texas"	"48"	788	21690325	3.6	3.7
	"2002"	"2002"	"Utah"	"49"	213	2324815	9.2	10.3
	"2002"	"2002"	"Vermont"	"50"	41	615442	6.7	6.6
	"2002"	"2002"	"Virginia"	"51"	361	7286873	5.0	4.8
	"2002"	"2002"	"Washington"	"53"	474	6052349	7.8	7.7
	"2002"	"2002"	"West Virginia"	"54"	183	1805414	10.1	10.3
	"2002"	"2002"	"Wisconsin"	"55"	173	5445162	3.2	3.2
	"2002"	"2002"	"Wyoming"	"56"	17	500017	Unreliable	Unreliable
	"2003"	"2003"	"Alabama"	"01"	54	4503491	1.2	1.2
	"2003"	"2003"	"Alaska"	"02"	14	648414	Unreliable	Unreliable
	"2003"	"2003"	"Arizona"	"04"	350	5510364	6.4	6.6
	"2003"	"2003"	"Arkansas"	"05"	98	2724816	3.6	3.8
	"2003"	"2003"	"California"	"06"	1530	35253159	4.3	4.4
	"2003"	"2003"	"Colorado"	"08"	229	4528732	5.1	4.9
	"2003"	"2003"	"Connecticut"	"09"	168	3484336	4.8	4.9
	"2003"	"2003"	"Delaware"	"10"	46	818003	5.6	5.6
	"2003"	"2003"	"District of Columbia"	"11"	60	568502	10.6	10.7
	"2003"	"2003"	"Florida"	"12"	1080	17004085	6.4	6.6
	"2003"	"2003"	"Georgia"	"13"	248	8622793	2.9	2.8
	"2003"	"2003"	"Hawaii"	"15"	47	1251154	3.8	3.8
	"2003"	"2003"	"Idaho"	"16"	55	1363380	4.0	4.2
	"2003"	"2003"	"Illinois"	"17"	504	12556006	4.0	4.0
	"2003"	"2003"	"Indiana"	"18"	140	6196638	2.3	2.3
	"2003"	"2003"	"Iowa"	"19"	43	2941999	1.5	1.6
	"2003"	"2003"	"Kansas"	"20"	78	2723004	2.9	3.0
	"2003"	"2003"	"Kentucky"	"21"	242	4117170	5.9	5.9
	"2003"	"2003"	"Louisiana"	"22"	131	4521042	2.9	3.0
	"2003"	"2003"	"Maine"	"23"	92	1306513	7.0	7.1
	"2003"	"2003"	"Maryland"	"24"	568	5496269	10.3	10.0
	"2003"	"2003"	"Massachusetts"	"25"	595	6422565	9.3	9.1
	"2003"	"2003"	"Michigan"	"26"	278	10041152	2.8	2.7
	"2003"	"2003"	"Minnesota"	"27"	122	5053572	2.4	2.4
	"2003"	"2003"	"Mississippi"	"28"	31	2868312	1.1	1.1
	"2003"	"2003"	"Missouri"	"29"	277	5709403	4.9	4.9
	"2003"	"2003"	"Montana"	"30"	46	919630	5.0	5.2
	"2003"	"2003"	"Nebraska"	"31"	14	1738643	Unreliable	Unreliable
	"2003"	"2003"	"Nevada"	"32"	287	2248850	12.8	12.7
	"2003"	"2003"	"New Hampshire"	"33"	99	1279840	7.7	7.5
	"2003"	"2003"	"New Jersey"	"34"	466	8601402	5.4	5.4
	"2003"	"2003"	"New Mexico"	"35"	228	1877574	12.1	12.5
	"2003"	"2003"	"New York"	"36"	614	19175939	3.2	3.2
	"2003"	"2003"	"North Carolina"	"37"	506	8422501	6.0	6.0
	"2003"	"2003"	"North Dakota"	"38"	10	638817	Unreliable	Unreliable
	"2003"	"2003"	"Ohio"	"39"	398	11434788	3.5	3.5
	"2003"	"2003"	"Oklahoma"	"40"	262	3504892	7.5	7.8
	"2003"	"2003"	"Oregon"	"41"	264	3547376	7.4	7.3
	"2003"	"2003"	"Pennsylvania"	"42"	481	12374658	3.9	4.0
	"2003"	"2003"	"Rhode Island"	"44"	108	1071342	10.1	10.2
	"2003"	"2003"	"South Carolina"	"45"	95	4150297	2.3	2.3
	"2003"	"2003"	"South Dakota"	"46"	10	763729	Unreliable	Unreliable
	"2003"	"2003"	"Tennessee"	"47"	312	5847812	5.3	5.4
	"2003"	"2003"	"Texas"	"48"	825	22030931	3.7	3.8
	"2003"	"2003"	"Utah"	"49"	272	2360137	11.5	12.5
	"2003"	"2003"	"Vermont"	"50"	50	617858	8.1	8.0
	"2003"	"2003"	"Virginia"	"51"	374	7366977	5.1	5.0
	"2003"	"2003"	"Washington"	"53"	492	6104115	8.1	7.8
	"2003"	"2003"	"West Virginia"	"54"	203	1812295	11.2	11.8
	"2003"	"2003"	"Wisconsin"	"55"	203	5479203	3.7	3.7
	"2004"	"2004"	"Alabama"	"01"	92	4530729	2.0	2.1
	"2004"	"2004"	"Alaska"	"02"	11	659286	Unreliable	Unreliable
	"2004"	"2004"	"Arizona"	"04"	360	5652404	6.4	6.6
	"2004"	"2004"	"Arkansas"	"05"	133	2749686	4.8	5.0
	"2004"	"2004"	"California"	"06"	1547	35574576	4.3	4.4
	"2004"	"2004"	"Colorado"	"08"	233	4575013	5.1	5.0
	"2004"	"2004"	"Connecticut"	"09"	196	3496094	5.6	5.8
	"2004"	"2004"	"Delaware"	"10"	38	830803	4.6	4.6
	"2004"	"2004"	"District of Columbia"	"11"	53	567754	9.3	9.4
	"2004"	"2004"	"Florida"	"12"	1258	17415318	7.2	7.4
	"2004"	"2004"	"Georgia"	"13"	269	8769252	3.1	3.0
	"2004"	"2004"	"Hawaii"	"15"	64	1273569	5.0	4.9
	"2004"	"2004"	"Idaho"	"16"	48	1391802	3.4	3.6
	"2004"	"2004"	"Illinois"	"17"	575	12589773	4.6	4.6
	"2004"	"2004"	"Indiana"	"18"	150	6233007	2.4	2.4
	"2004"	"2004"	"Iowa"	"19"	65	2953635	2.2	2.3
	"2004"	"2004"	"Kansas"	"20"	118	2734373	4.3	4.5
	"2004"	"2004"	"Kentucky"	"21"	237	4146101	5.7	5.7
	"2004"	"2004"	"Louisiana"	"22"	158	4552238	3.5	3.5
	"2004"	"2004"	"Maine"	"23"	105	1313688	8.0	8.2
	"2004"	"2004"	"Maryland"	"24"	493	5546935	8.9	8.7
	"2004"	"2004"	"Massachusetts"	"25"	467	6412281	7.3	7.2
	"2004"	"2004"	"Michigan"	"26"	390	10055315	3.9	3.9
	"2004"	"2004"	"Minnesota"	"27"	149	5087713	2.9	2.9
	"2004"	"2004"	"Mississippi"	"28"	28	2889010	1.0	1.1
	"2004"	"2004"	"Missouri"	"29"	284	5747741	4.9	5.1
	"2004"	"2004"	"Montana"	"30"	46	930009	4.9	5.1
	"2004"	"2004"	"Nebraska"	"31"	26	1749370	1.5	1.6
	"2004"	"2004"	"Nevada"	"32"	330	2346222	14.1	13.9
	"2004"	"2004"	"New Hampshire"	"33"	92	1290121	7.1	7.1
	"2004"	"2004"	"New Jersey"	"34"	326	8634561	3.8	3.8
	"2004"	"2004"	"New Mexico"	"35"	192	1903808	10.1	10.4
	"2004"	"2004"	"New York"	"36"	514	19171567	2.7	2.6
	"2004"	"2004"	"North Carolina"	"37"	576	8553152	6.7	6.7
	"2004"	"2004"	"North Dakota"	"38"	13	644705	Unreliable	Unreliable
	"2004"	"2004"	"Ohio"	"39"	557	11452251	4.9	4.9
	"2004"	"2004"	"Oklahoma"	"40"	325	3525233	9.2	9.5
	"2004"	"2004"	"Oregon"	"41"	274	3569463	7.7	7.6
	"2004"	"2004"	"Pennsylvania"	"42"	484	12410722	3.9	4.0
	"2004"	"2004"	"Rhode Island"	"44"	80	1074579	7.4	7.4
	"2004"	"2004"	"South Carolina"	"45"	134	4210921	3.2	3.2
	"2004"	"2004"	"South Dakota"	"46"	21	770396	2.7	2.9
	"2004"	"2004"	"Tennessee"	"47"	403	5910809	6.8	6.8
	"2004"	"2004"	"Texas"	"48"	836	22394023	3.7	3.7
	"2004"	"2004"	"Utah"	"49"	275	2401580	11.5	12.4
	"2004"	"2004"	"Vermont"	"50"	41	619920	6.6	6.6
	"2004"	"2004"	"Virginia"	"51"	399	7475575	5.3	5.2
	"2004"	"2004"	"Washington"	"53"	606	6178645	9.8	9.5
	"2004"	"2004"	"West Virginia"	"54"	273	1816438	15.0	15.4
	"2004"	"2004"	"Wisconsin"	"55"	226	5514026	4.1	4.1
	"2004"	"2004"	"Wyoming"	"56"	14	509106	Unreliable	Unreliable
	"2005"	"2005"	"Alabama"	"01"	83	4569805	1.8	1.8
	"2005"	"2005"	"Alaska"	"02"	19	666946	Unreliable	Unreliable
	"2005"	"2005"	"Arizona"	"04"	393	5839077	6.7	7.0
	"2005"	"2005"	"Arkansas"	"05"	127	2781097	4.6	4.8
	"2005"	"2005"	"California"	"06"	1485	35827943	4.1	4.1
	"2005"	"2005"	"Colorado"	"08"	310	4631888	6.7	6.5
	"2005"	"2005"	"Connecticut"	"09"	175	3506956	5.0	5.1
	"2005"	"2005"	"Delaware"	"10"	33	845150	3.9	4.0
	"2005"	"2005"	"District of Columbia"	"11"	45	567136	7.9	8.0
	"2005"	"2005"	"Florida"	"12"	1151	17842038	6.5	6.6
	"2005"	"2005"	"Georgia"	"13"	312	8925922	3.5	3.4
	"2005"	"2005"	"Hawaii"	"15"	75	1292729	5.8	5.6
	"2005"	"2005"	"Idaho"	"16"	52	1428241	3.6	3.9
	"2005"	"2005"	"Illinois"	"17"	647	12609903	5.1	5.1
	"2005"	"2005"	"Indiana"	"18"	169	6278616	2.7	2.7
	"2005"	"2005"	"Iowa"	"19"	74	2964454	2.5	2.6
	"2005"	"2005"	"Kansas"	"20"	112	2745299	4.1	4.3
	"2005"	"2005"	"Kentucky"	"21"	294	4182742	7.0	7.0
	"2005"	"2005"	"Louisiana"	"22"	185	4576628	4.0	4.1
	"2005"	"2005"	"Maine"	"23"	124	1318787	9.4	9.6
	"2005"	"2005"	"Maryland"	"24"	507	5592379	9.1	8.8
	"2005"	"2005"	"Massachusetts"	"25"	579	6403290	9.0	8.9
	"2005"	"2005"	"Michigan"	"26"	527	10051137	5.2	5.2
	"2005"	"2005"	"Minnesota"	"27"	162	5119598	3.2	3.1
	"2005"	"2005"	"Mississippi"	"28"	44	2905943	1.5	1.5
	"2005"	"2005"	"Missouri"	"29"	306	5790300	5.3	5.4
	"2005"	"2005"	"Montana"	"30"	47	940102	5.0	4.9
	"2005"	"2005"	"Nebraska"	"31"	43	1761497	2.4	2.5
	"2005"	"2005"	"Nevada"	"32"	365	2432143	15.0	14.9
	"2005"	"2005"	"New Hampshire"	"33"	111	1298492	8.5	8.3
	"2005"	"2005"	"New Jersey"	"34"	454	8651974	5.2	5.2
	"2005"	"2005"	"New Mexico"	"35"	219	1932274	11.3	11.8
	"2005"	"2005"	"New York"	"36"	580	19132610	3.0	3.0
	"2005"	"2005"	"North Carolina"	"37"	659	8705407	7.6	7.5
	"2005"	"2005"	"Ohio"	"39"	591	11463320	5.2	5.2
	"2005"	"2005"	"Oklahoma"	"40"	319	3548597	9.0	9.2
	"2005"	"2005"	"Oregon"	"41"	318	3613202	8.8	8.6
	"2005"	"2005"	"Pennsylvania"	"42"	524	12449990	4.2	4.3
	"2005"	"2005"	"Rhode Island"	"44"	122	1067916	11.4	11.3
	"2005"	"2005"	"South Carolina"	"45"	154	4270150	3.6	3.6
	"2005"	"2005"	"South Dakota"	"46"	22	775493	2.8	3.1
	"2005"	"2005"	"Tennessee"	"47"	466	5991057	7.8	7.8
	"2005"	"2005"	"Texas"	"48"	908	22778123	4.0	4.0
	"2005"	"2005"	"Utah"	"49"	345	2457719	14.0	15.2
	"2005"	"2005"	"Vermont"	"50"	46	621215	7.4	7.4
	"2005"	"2005"	"Virginia"	"51"	385	7577105	5.1	5.0
	"2005"	"2005"	"Washington"	"53"	629	6257305	10.1	9.6
	"2005"	"2005"	"West Virginia"	"54"	154	1820492	8.5	9.0
	"2005"	"2005"	"Wisconsin"	"55"	281	5546166	5.1	5.0
	"2005"	"2005"	"Wyoming"	"56"	10	514157	Unreliable	Unreliable
	"2006"	"2006"	"Alabama"	"01"	134	4628981	2.9	2.9
	"2006"	"2006"	"Alaska"	"02"	29	675302	4.3	4.1
	"2006"	"2006"	"Arizona"	"04"	479	6029141	7.9	8.2
	"2006"	"2006"	"Arkansas"	"05"	149	2821761	5.3	5.5
	"2006"	"2006"	"California"	"06"	1602	36021202	4.4	4.4
	"2006"	"2006"	"Colorado"	"08"	337	4720423	7.1	6.9
	"2006"	"2006"	"Connecticut"	"09"	238	3517460	6.8	6.8
	"2006"	"2006"	"Delaware"	"10"	42	859268	4.9	5.1
	"2006"	"2006"	"District of Columbia"	"11"	62	570681	10.9	10.9
	"2006"	"2006"	"Florida"	"12"	1323	18166990	7.3	7.5
	"2006"	"2006"	"Georgia"	"13"	344	9155813	3.8	3.7
	"2006"	"2006"	"Hawaii"	"15"	67	1309731	5.1	5.0
	"2006"	"2006"	"Idaho"	"16"	71	1468669	4.8	5.1
	"2006"	"2006"	"Illinois"	"17"	929	12643955	7.3	7.3
	"2006"	"2006"	"Indiana"	"18"	188	6332669	3.0	3.0
	"2006"	"2006"	"Iowa"	"19"	101	2982644	3.4	3.5
	"2006"	"2006"	"Kansas"	"20"	127	2762931	4.6	4.7
	"2006"	"2006"	"Kentucky"	"21"	343	4219239	8.1	8.2
	"2006"	"2006"	"Louisiana"	"22"	203	4302665	4.7	4.7
	"2006"	"2006"	"Maine"	"23"	97	1323619	7.3	7.6
	"2006"	"2006"	"Maryland"	"24"	584	5627367	10.4	10.1
	"2006"	"2006"	"Massachusetts"	"25"	670	6410084	10.5	10.2
	"2006"	"2006"	"Michigan"	"26"	641	10036081	6.4	6.4
	"2006"	"2006"	"Minnesota"	"27"	188	5163555	3.6	3.6
	"2006"	"2006"	"Mississippi"	"28"	69	2904978	2.4	2.5
	"2006"	"2006"	"Missouri"	"29"	418	5842704	7.2	7.3
	"2006"	"2006"	"Montana"	"30"	52	952692	5.5	5.8
	"2006"	"2006"	"Nebraska"	"31"	34	1772693	1.9	1.9
	"2006"	"2006"	"Nevada"	"32"	378	2522658	15.0	14.8
	"2006"	"2006"	"New Hampshire"	"33"	108	1308389	8.3	8.2
	"2006"	"2006"	"New Jersey"	"34"	377	8661679	4.4	4.3
	"2006"	"2006"	"New Mexico"	"35"	252	1962137	12.8	13.0
	"2006"	"2006"	"New York"	"36"	1056	19104631	5.5	5.4
	"2006"	"2006"	"North Carolina"	"37"	708	8917270	7.9	7.9
