"Notes"	"Year"	"Year Code"	"State"	"State Code"	"MCD - Drug/Alcohol Induced"	"MCD - Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Maryland"	"24"	"Drug-induced causes"	"D"	903	5254509	17.2
	"1999"	"1999"	"Maryland"	"24"	"Alcohol-induced causes"	"A"	638	5254509	12.1
	"1999"	"1999"	"Maryland"	"24"	"All other non-drug and non-alcohol causes"	"O"	43031	5254509	818.9
	"1999"	"1999"	"Massachusetts"	"25"	"Drug-induced causes"	"D"	652	6317345	10.3
	"1999"	"1999"	"Massachusetts"	"25"	"Alcohol-induced causes"	"A"	566	6317345	9.0
	"1999"	"1999"	"Massachusetts"	"25"	"All other non-drug and non-alcohol causes"	"O"	55733	6317345	882.2
	"1999"	"1999"	"Michigan"	"26"	"Drug-induced causes"	"D"	1163	9897116	11.8
	"1999"	"1999"	"Michigan"	"26"	"Alcohol-induced causes"	"A"	1100	9897116	11.1
	"1999"	"1999"	"Michigan"	"26"	"All other non-drug and non-alcohol causes"	"O"	86955	9897116	878.6
	"1999"	"1999"	"Minnesota"	"27"	"Drug-induced causes"	"D"	662	4873481	13.6
	"1999"	"1999"	"Minnesota"	"27"	"Alcohol-induced causes"	"A"	732	4873481	15.0
	"1999"	"1999"	"Minnesota"	"27"	"All other non-drug and non-alcohol causes"	"O"	38472	4873481	789.4
	"1999"	"1999"	"Mississippi"	"28"	"Drug-induced causes"	"D"	185	2828408	6.5
	"1999"	"1999"	"Mississippi"	"28"	"Alcohol-induced causes"	"A"	338	2828408	12.0
	"1999"	"1999"	"Mississippi"	"28"	"All other non-drug and non-alcohol causes"	"O"	28167	2828408	995.9
	"1999"	"1999"	"Missouri"	"29"	"Drug-induced causes"	"D"	634	5561948	11.4
	"1999"	"1999"	"Missouri"	"29"	"Alcohol-induced causes"	"A"	778	5561948	14.0
	"1999"	"1999"	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	55808	5561948	1003.4
	"1999"	"1999"	"Montana"	"30"	"Drug-induced causes"	"D"	119	897507	13.3
	"1999"	"1999"	"Montana"	"30"	"Alcohol-induced causes"	"A"	188	897507	20.9
	"1999"	"1999"	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	8112	897507	903.8
	"1999"	"1999"	"Nebraska"	"31"	"Drug-induced causes"	"D"	72	1704764	4.2
	"1999"	"1999"	"Nebraska"	"31"	"Alcohol-induced causes"	"A"	152	1704764	8.9
	"1999"	"1999"	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	15562	1704764	912.9
	"1999"	"1999"	"Nevada"	"32"	"Drug-induced causes"	"D"	330	1934718	17.1
	"1999"	"1999"	"Nevada"	"32"	"Alcohol-induced causes"	"A"	364	1934718	18.8
	"1999"	"1999"	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	14990	1934718	774.8
	"1999"	"1999"	"New Hampshire"	"33"	"Drug-induced causes"	"D"	195	1222014	16.0
	"1999"	"1999"	"New Hampshire"	"33"	"Alcohol-induced causes"	"A"	167	1222014	13.7
	"1999"	"1999"	"New Hampshire"	"33"	"All other non-drug and non-alcohol causes"	"O"	9522	1222014	779.2
	"1999"	"1999"	"New Jersey"	"34"	"Drug-induced causes"	"D"	1078	8359592	12.9
	"1999"	"1999"	"New Jersey"	"34"	"Alcohol-induced causes"	"A"	878	8359592	10.5
	"1999"	"1999"	"New Jersey"	"34"	"All other non-drug and non-alcohol causes"	"O"	73817	8359592	883.0
	"1999"	"1999"	"New Mexico"	"35"	"Drug-induced causes"	"D"	382	1808082	21.1
	"1999"	"1999"	"New Mexico"	"35"	"Alcohol-induced causes"	"A"	499	1808082	27.6
	"1999"	"1999"	"New Mexico"	"35"	"All other non-drug and non-alcohol causes"	"O"	13603	1808082	752.3
	"1999"	"1999"	"New York"	"36"	"Drug-induced causes"	"D"	2047	18882725	10.8
	"1999"	"1999"	"New York"	"36"	"Alcohol-induced causes"	"A"	2085	18882725	11.0
	"1999"	"1999"	"New York"	"36"	"All other non-drug and non-alcohol causes"	"O"	159622	18882725	845.3
	"1999"	"1999"	"North Carolina"	"37"	"Drug-induced causes"	"D"	1349	7949361	17.0
	"1999"	"1999"	"North Carolina"	"37"	"Alcohol-induced causes"	"A"	1462	7949361	18.4
	"1999"	"1999"	"North Carolina"	"37"	"All other non-drug and non-alcohol causes"	"O"	69441	7949361	873.5
	"1999"	"1999"	"North Dakota"	"38"	"Drug-induced causes"	"D"	650	644259	100.9
	"1999"	"1999"	"North Dakota"	"38"	"Alcohol-induced causes"	"A"	105	644259	16.3
	"1999"	"1999"	"North Dakota"	"38"	"All other non-drug and non-alcohol causes"	"O"	6099	644259	946.7
	"1999"	"1999"	"Ohio"	"39"	"Drug-induced causes"	"D"	1396	11335454	12.3
	"1999"	"1999"	"Ohio"	"39"	"Alcohol-induced causes"	"A"	1171	11335454	10.3
	"1999"	"1999"	"Ohio"	"39"	"All other non-drug and non-alcohol causes"	"O"	108417	11335454	956.4
	"1999"	"1999"	"Oklahoma"	"40"	"Drug-induced causes"	"D"	325	3437147	9.5
	"1999"	"1999"	"Oklahoma"	"40"	"Alcohol-induced causes"	"A"	492	3437147	14.3
	"1999"	"1999"	"Oklahoma"	"40"	"All other non-drug and non-alcohol causes"	"O"	34641	3437147	1007.8
	"1999"	"1999"	"Oregon"	"41"	"Drug-induced causes"	"D"	531	3393941	15.6
	"1999"	"1999"	"Oregon"	"41"	"Alcohol-induced causes"	"A"	619	3393941	18.2
	"1999"	"1999"	"Oregon"	"41"	"All other non-drug and non-alcohol causes"	"O"	29352	3393941	864.8
	"1999"	"1999"	"Pennsylvania"	"42"	"Drug-induced causes"	"D"	1650	12263805	13.5
	"1999"	"1999"	"Pennsylvania"	"42"	"Alcohol-induced causes"	"A"	895	12263805	7.3
	"1999"	"1999"	"Pennsylvania"	"42"	"All other non-drug and non-alcohol causes"	"O"	130212	12263805	1061.8
	"1999"	"1999"	"Rhode Island"	"44"	"Drug-induced causes"	"D"	150	1040402	14.4
	"1999"	"1999"	"Rhode Island"	"44"	"Alcohol-induced causes"	"A"	163	1040402	15.7
	"1999"	"1999"	"Rhode Island"	"44"	"All other non-drug and non-alcohol causes"	"O"	9702	1040402	932.5
	"1999"	"1999"	"South Carolina"	"45"	"Drug-induced causes"	"D"	387	3974682	9.7
	"1999"	"1999"	"South Carolina"	"45"	"Alcohol-induced causes"	"A"	759	3974682	19.1
	"1999"	"1999"	"South Carolina"	"45"	"All other non-drug and non-alcohol causes"	"O"	35989	3974682	905.5
	"1999"	"1999"	"South Dakota"	"46"	"Drug-induced causes"	"D"	55	750412	7.3
	"1999"	"1999"	"South Dakota"	"46"	"Alcohol-induced causes"	"A"	142	750412	18.9
	"1999"	"1999"	"South Dakota"	"46"	"All other non-drug and non-alcohol causes"	"O"	6948	750412	925.9
	"1999"	"1999"	"Tennessee"	"47"	"Drug-induced causes"	"D"	619	5638706	11.0
	"1999"	"1999"	"Tennessee"	"47"	"Alcohol-induced causes"	"A"	666	5638706	11.8
	"1999"	"1999"	"Tennessee"	"47"	"All other non-drug and non-alcohol causes"	"O"	53683	5638706	952.0
	"1999"	"1999"	"Texas"	"48"	"Drug-induced causes"	"D"	3114	20558220	15.1
	"1999"	"1999"	"Texas"	"48"	"Alcohol-induced causes"	"A"	2155	20558220	10.5
	"1999"	"1999"	"Texas"	"48"	"All other non-drug and non-alcohol causes"	"O"	146607	20558220	713.1
	"1999"	"1999"	"Utah"	"49"	"Drug-induced causes"	"D"	259	2203482	11.8
	"1999"	"1999"	"Utah"	"49"	"Alcohol-induced causes"	"A"	238	2203482	10.8
	"1999"	"1999"	"Utah"	"49"	"All other non-drug and non-alcohol causes"	"O"	12013	2203482	545.2
	"1999"	"1999"	"Vermont"	"50"	"Drug-induced causes"	"D"	102	604683	16.9
	"1999"	"1999"	"Vermont"	"50"	"Alcohol-induced causes"	"A"	75	604683	12.4
	"1999"	"1999"	"Vermont"	"50"	"All other non-drug and non-alcohol causes"	"O"	4983	604683	824.1
	"1999"	"1999"	"Virginia"	"51"	"Drug-induced causes"	"D"	708	7000174	10.1
	"1999"	"1999"	"Virginia"	"51"	"Alcohol-induced causes"	"A"	703	7000174	10.0
	"1999"	"1999"	"Virginia"	"51"	"All other non-drug and non-alcohol causes"	"O"	55259	7000174	789.4
	"1999"	"1999"	"Washington"	"53"	"Drug-induced causes"	"D"	955	5842564	16.3
	"1999"	"1999"	"Washington"	"53"	"Alcohol-induced causes"	"A"	1077	5842564	18.4
	"1999"	"1999"	"Washington"	"53"	"All other non-drug and non-alcohol causes"	"O"	43771	5842564	749.2
	"1999"	"1999"	"West Virginia"	"54"	"Drug-induced causes"	"D"	215	1811799	11.9
	"1999"	"1999"	"West Virginia"	"54"	"Alcohol-induced causes"	"A"	250	1811799	13.8
	"1999"	"1999"	"West Virginia"	"54"	"All other non-drug and non-alcohol causes"	"O"	21028	1811799	1160.6
	"1999"	"1999"	"Wisconsin"	"55"	"Drug-induced causes"	"D"	619	5332666	11.6
	"1999"	"1999"	"Wisconsin"	"55"	"Alcohol-induced causes"	"A"	741	5332666	13.9
	"1999"	"1999"	"Wisconsin"	"55"	"All other non-drug and non-alcohol causes"	"O"	46602	5332666	873.9
	"1999"	"1999"	"Wyoming"	"56"	"Drug-induced causes"	"D"	71	491780	14.4
	"1999"	"1999"	"Wyoming"	"56"	"Alcohol-induced causes"	"A"	100	491780	20.3
	"1999"	"1999"	"Wyoming"	"56"	"All other non-drug and non-alcohol causes"	"O"	4021	491780	817.6
	"2000"	"2000"	"Alabama"	"01"	"Drug-induced causes"	"D"	470	4447100	10.6
	"2000"	"2000"	"Alabama"	"01"	"Alcohol-induced causes"	"A"	425	4447100	9.6
	"2000"	"2000"	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	45002	4447100	1011.9
	"2000"	"2000"	"Alaska"	"02"	"Drug-induced causes"	"D"	122	626932	19.5
	"2000"	"2000"	"Alaska"	"02"	"Alcohol-induced causes"	"A"	168	626932	26.8
	"2000"	"2000"	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	2872	626932	458.1
	"2000"	"2000"	"Arizona"	"04"	"Drug-induced causes"	"D"	946	5130632	18.4
	"2000"	"2000"	"Arizona"	"04"	"Alcohol-induced causes"	"A"	793	5130632	15.5
	"2000"	"2000"	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	40375	5130632	786.9
	"2000"	"2000"	"Arkansas"	"05"	"Drug-induced causes"	"D"	296	2673400	11.1
	"2000"	"2000"	"Arkansas"	"05"	"Alcohol-induced causes"	"A"	218	2673400	8.2
	"2000"	"2000"	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	28202	2673400	1054.9
	"2000"	"2000"	"California"	"06"	"Drug-induced causes"	"D"	5600	33871648	16.5
	"2000"	"2000"	"California"	"06"	"Alcohol-induced causes"	"A"	5683	33871648	16.8
	"2000"	"2000"	"California"	"06"	"All other non-drug and non-alcohol causes"	"O"	229087	33871648	676.3
	"2000"	"2000"	"Colorado"	"08"	"Drug-induced causes"	"D"	1439	4301261	33.5
	"2000"	"2000"	"Colorado"	"08"	"Alcohol-induced causes"	"A"	1007	4301261	23.4
	"2000"	"2000"	"Colorado"	"08"	"All other non-drug and non-alcohol causes"	"O"	27190	4301261	632.1
	"2000"	"2000"	"Connecticut"	"09"	"Drug-induced causes"	"D"	538	3405565	15.8
	"2000"	"2000"	"Connecticut"	"09"	"Alcohol-induced causes"	"A"	466	3405565	13.7
	"2000"	"2000"	"Connecticut"	"09"	"All other non-drug and non-alcohol causes"	"O"	30095	3405565	883.7
	"2000"	"2000"	"Delaware"	"10"	"Drug-induced causes"	"D"	115	783600	14.7
	"2000"	"2000"	"Delaware"	"10"	"Alcohol-induced causes"	"A"	158	783600	20.2
	"2000"	"2000"	"Delaware"	"10"	"All other non-drug and non-alcohol causes"	"O"	6863	783600	875.8
	"2000"	"2000"	"District of Columbia"	"11"	"Drug-induced causes"	"D"	136	572059	23.8
	"2000"	"2000"	"District of Columbia"	"11"	"Alcohol-induced causes"	"A"	167	572059	29.2
	"2000"	"2000"	"District of Columbia"	"11"	"All other non-drug and non-alcohol causes"	"O"	5979	572059	1045.2
	"2000"	"2000"	"Florida"	"12"	"Drug-induced causes"	"D"	2342	15982378	14.7
	"2000"	"2000"	"Florida"	"12"	"Alcohol-induced causes"	"A"	2328	15982378	14.6
	"2000"	"2000"	"Florida"	"12"	"All other non-drug and non-alcohol causes"	"O"	164094	15982378	1026.7
	"2000"	"2000"	"Georgia"	"13"	"Drug-induced causes"	"D"	897	8186453	11.0
	"2000"	"2000"	"Georgia"	"13"	"Alcohol-induced causes"	"A"	914	8186453	11.2
	"2000"	"2000"	"Georgia"	"13"	"All other non-drug and non-alcohol causes"	"O"	63757	8186453	778.8
	"2000"	"2000"	"Hawaii"	"15"	"Drug-induced causes"	"D"	129	1211537	10.6
	"2000"	"2000"	"Hawaii"	"15"	"Alcohol-induced causes"	"A"	77	1211537	6.4
	"2000"	"2000"	"Hawaii"	"15"	"All other non-drug and non-alcohol causes"	"O"	8288	1211537	684.1
	"2000"	"2000"	"Idaho"	"16"	"Drug-induced causes"	"D"	213	1293953	16.5
	"2000"	"2000"	"Idaho"	"16"	"Alcohol-induced causes"	"A"	201	1293953	15.5
	"2000"	"2000"	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	9550	1293953	738.0
	"2000"	"2000"	"Illinois"	"17"	"Drug-induced causes"	"D"	1615	12419293	13.0
	"2000"	"2000"	"Illinois"	"17"	"Alcohol-induced causes"	"A"	1307	12419293	10.5
	"2000"	"2000"	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	106535	12419293	857.8
	"2000"	"2000"	"Indiana"	"18"	"Drug-induced causes"	"D"	714	6080485	11.7
	"2000"	"2000"	"Indiana"	"18"	"Alcohol-induced causes"	"A"	592	6080485	9.7
	"2000"	"2000"	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	55352	6080485	910.3
	"2000"	"2000"	"Iowa"	"19"	"Drug-induced causes"	"D"	357	2926324	12.2
	"2000"	"2000"	"Iowa"	"19"	"Alcohol-induced causes"	"A"	298	2926324	10.2
	"2000"	"2000"	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	28047	2926324	958.4
	"2000"	"2000"	"Kansas"	"20"	"Drug-induced causes"	"D"	323	2688418	12.0
	"2000"	"2000"	"Kansas"	"20"	"Alcohol-induced causes"	"A"	302	2688418	11.2
	"2000"	"2000"	"Kansas"	"20"	"All other non-drug and non-alcohol causes"	"O"	24696	2688418	918.6
	"2000"	"2000"	"Kentucky"	"21"	"Drug-induced causes"	"D"	592	4041769	14.6
	"2000"	"2000"	"Kentucky"	"21"	"Alcohol-induced causes"	"A"	519	4041769	12.8
	"2000"	"2000"	"Kentucky"	"21"	"All other non-drug and non-alcohol causes"	"O"	39465	4041769	976.4
	"2000"	"2000"	"Louisiana"	"22"	"Drug-induced causes"	"D"	2940	4468976	65.8
	"2000"	"2000"	"Louisiana"	"22"	"Alcohol-induced causes"	"A"	573	4468976	12.8
	"2000"	"2000"	"Louisiana"	"22"	"All other non-drug and non-alcohol causes"	"O"	41096	4468976	919.6
	"2000"	"2000"	"Maine"	"23"	"Drug-induced causes"	"D"	267	1274923	20.9
	"2000"	"2000"	"Maine"	"23"	"Alcohol-induced causes"	"A"	183	1274923	14.4
	"2000"	"2000"	"Maine"	"23"	"All other non-drug and non-alcohol causes"	"O"	12331	1274923	967.2
	"2000"	"2000"	"Maryland"	"24"	"Drug-induced causes"	"D"	932	5296486	17.6
	"2000"	"2000"	"Maryland"	"24"	"Alcohol-induced causes"	"A"	754	5296486	14.2
	"2000"	"2000"	"Maryland"	"24"	"All other non-drug and non-alcohol causes"	"O"	43719	5296486	825.4
	"2000"	"2000"	"Massachusetts"	"25"	"Drug-induced causes"	"D"	726	6349097	11.4
	"2000"	"2000"	"Massachusetts"	"25"	"Alcohol-induced causes"	"A"	643	6349097	10.1
	"2000"	"2000"	"Massachusetts"	"25"	"All other non-drug and non-alcohol causes"	"O"	56587	6349097	891.3
	"2000"	"2000"	"Michigan"	"26"	"Drug-induced causes"	"D"	1516	9938444	15.3
	"2000"	"2000"	"Michigan"	"26"	"Alcohol-induced causes"	"A"	1280	9938444	12.9
	"2000"	"2000"	"Michigan"	"26"	"All other non-drug and non-alcohol causes"	"O"	86651	9938444	871.9
	"2000"	"2000"	"Minnesota"	"27"	"Drug-induced causes"	"D"	703	4919479	14.3
	"2000"	"2000"	"Minnesota"	"27"	"Alcohol-induced causes"	"A"	801	4919479	16.3
	"2000"	"2000"	"Minnesota"	"27"	"All other non-drug and non-alcohol causes"	"O"	37619	4919479	764.7
	"2000"	"2000"	"Mississippi"	"28"	"Drug-induced causes"	"D"	230	2844658	8.1
	"2000"	"2000"	"Mississippi"	"28"	"Alcohol-induced causes"	"A"	346	2844658	12.2
	"2000"	"2000"	"Mississippi"	"28"	"All other non-drug and non-alcohol causes"	"O"	28637	2844658	1006.7
	"2000"	"2000"	"Missouri"	"29"	"Drug-induced causes"	"D"	810	5595211	14.5
	"2000"	"2000"	"Missouri"	"29"	"Alcohol-induced causes"	"A"	739	5595211	13.2
	"2000"	"2000"	"Missouri"	"29"	"All other non-drug and non-alcohol causes"	"O"	54754	5595211	978.6
	"2000"	"2000"	"Montana"	"30"	"Drug-induced causes"	"D"	184	902195	20.4
	"2000"	"2000"	"Montana"	"30"	"Alcohol-induced causes"	"A"	214	902195	23.7
	"2000"	"2000"	"Montana"	"30"	"All other non-drug and non-alcohol causes"	"O"	8085	902195	896.1
	"2000"	"2000"	"Nebraska"	"31"	"Drug-induced causes"	"D"	132	1711263	7.7
	"2000"	"2000"	"Nebraska"	"31"	"Alcohol-induced causes"	"A"	131	1711263	7.7
	"2000"	"2000"	"Nebraska"	"31"	"All other non-drug and non-alcohol causes"	"O"	14986	1711263	875.7
	"2000"	"2000"	"Nevada"	"32"	"Drug-induced causes"	"D"	411	1998257	20.6
	"2000"	"2000"	"Nevada"	"32"	"Alcohol-induced causes"	"A"	373	1998257	18.7
	"2000"	"2000"	"Nevada"	"32"	"All other non-drug and non-alcohol causes"	"O"	15189	1998257	760.1
	"2000"	"2000"	"New Hampshire"	"33"	"Drug-induced causes"	"D"	188	1235786	15.2
	"2000"	"2000"	"New Hampshire"	"33"	"Alcohol-induced causes"	"A"	169	1235786	13.7
	"2000"	"2000"	"New Hampshire"	"33"	"All other non-drug and non-alcohol causes"	"O"	9686	1235786	783.8
	"2000"	"2000"	"New Jersey"	"34"	"Drug-induced causes"	"D"	1192	8414350	14.2
	"2000"	"2000"	"New Jersey"	"34"	"Alcohol-induced causes"	"A"	1009	8414350	12.0
	"2000"	"2000"	"New Jersey"	"34"	"All other non-drug and non-alcohol causes"	"O"	74624	8414350	886.9
	"2000"	"2000"	"New Mexico"	"35"	"Drug-induced causes"	"D"	459	1819046	25.2
	"2000"	"2000"	"New Mexico"	"35"	"Alcohol-induced causes"	"A"	557	1819046	30.6
	"2000"	"2000"	"New Mexico"	"35"	"All other non-drug and non-alcohol causes"	"O"	13327	1819046	732.6
	"2000"	"2000"	"New York"	"36"	"Drug-induced causes"	"D"	2278	18976457	12.0
	"2000"	"2000"	"New York"	"36"	"Alcohol-induced causes"	"A"	1970	18976457	10.4
	"2000"	"2000"	"New York"	"36"	"All other non-drug and non-alcohol causes"	"O"	157952	18976457	832.4
	"2000"	"2000"	"North Carolina"	"37"	"Drug-induced causes"	"D"	2168	8049313	26.9
	"2000"	"2000"	"North Carolina"	"37"	"Alcohol-induced causes"	"A"	1646	8049313	20.4
	"2000"	"2000"	"North Carolina"	"37"	"All other non-drug and non-alcohol causes"	"O"	71810	8049313	892.1
	"2000"	"2000"	"North Dakota"	"38"	"Drug-induced causes"	"D"	793	642200	123.5
	"2000"	"2000"	"North Dakota"	"38"	"Alcohol-induced causes"	"A"	87	642200	13.5
	"2000"	"2000"	"North Dakota"	"38"	"All other non-drug and non-alcohol causes"	"O"	5854	642200	911.6
	"2000"	"2000"	"Ohio"	"39"	"Drug-induced causes"	"D"	1739	11353140	15.3
	"2000"	"2000"	"Ohio"	"39"	"Alcohol-induced causes"	"A"	1302	11353140	11.5
	"2000"	"2000"	"Ohio"	"39"	"All other non-drug and non-alcohol causes"	"O"	108043	11353140	951.7
	"2000"	"2000"	"Oklahoma"	"40"	"Drug-induced causes"	"D"	496	3450654	14.4
	"2000"	"2000"	"Oklahoma"	"40"	"Alcohol-induced causes"	"A"	821	3450654	23.8
	"2000"	"2000"	"Oklahoma"	"40"	"All other non-drug and non-alcohol causes"	"O"	35047	3450654	1015.7
	"2000"	"2000"	"Oregon"	"41"	"Drug-induced causes"	"D"	599	3421399	17.5
	"2000"	"2000"	"Oregon"	"41"	"Alcohol-induced causes"	"A"	613	3421399	17.9
	"2000"	"2000"	"Oregon"	"41"	"All other non-drug and non-alcohol causes"	"O"	29487	3421399	861.8
	"2000"	"2000"	"Pennsylvania"	"42"	"Drug-induced causes"	"D"	1829	12281054	14.9
	"2000"	"2000"	"Pennsylvania"	"42"	"Alcohol-induced causes"	"A"	965	12281054	7.9
	"2000"	"2000"	"Pennsylvania"	"42"	"All other non-drug and non-alcohol causes"	"O"	130732	12281054	1064.5
	"2000"	"2000"	"Rhode Island"	"44"	"Drug-induced causes"	"D"	225	1048319	21.5
	"2000"	"2000"	"Rhode Island"	"44"	"Alcohol-induced causes"	"A"	178	1048319	17.0
